date,t2m_max,t2m_min,t2m_mean,app_tmax,app_tmin,precip_mm,rain_mm,snow_mm,sun_h,wind10_max,gust10_max,winddir,sw_rad,et0,soil_t0_7,soil_m0_7
2005-01-01,9.8,7.5,8.3,8.2,4.4,0.0,0.0,0.0,0.0,14.1,26.6,269,1.32,0.4,7.8,0.371
2005-01-02,10.8,6.9,9.0,7.7,3.5,1.7,1.7,0.0,14779.69,19.9,41.4,280,2.56,0.63,8.4,0.371
2005-01-03,7.5,2.2,4.7,4.8,-0.4,0.0,0.0,0.0,27911.78,13.7,26.6,305,5.61,0.63,6.4,0.366
2005-01-04,10.2,-3.2,2.7,8.4,-7.0,0.0,0.0,0.0,28596.28,9.1,14.4,154,7.89,0.85,3.3,0.359
2005-01-05,10.1,0.8,4.7,8.7,-2.4,0.0,0.0,0.0,22995.41,8.0,12.6,217,5.12,0.64,4.8,0.355
2005-01-06,10.2,2.6,7.2,8.6,-0.6,0.0,0.0,0.0,0.0,11.3,18.4,270,1.4,0.45,5.9,0.353
2005-01-07,12.2,4.3,7.5,9.9,2.1,0.0,0.0,0.0,25871.03,14.1,25.6,111,6.6,0.84,7.4,0.351
2005-01-08,13.5,3.1,8.0,12.3,0.5,0.0,0.0,0.0,28796.01,16.8,29.2,130,6.83,0.88,7.6,0.347
2005-01-09,13.6,0.2,5.8,11.7,-3.0,0.0,0.0,0.0,28808.18,11.4,23.0,120,7.85,0.99,6.0,0.343
2005-01-10,13.1,4.4,7.8,10.4,0.7,0.0,0.0,0.0,28761.39,17.5,31.0,117,7.19,1.01,7.3,0.34
2005-01-11,12.1,3.0,6.3,9.2,0.1,0.0,0.0,0.0,28876.11,12.5,25.6,117,7.83,0.95,6.6,0.337
2005-01-12,10.3,1.7,5.2,8.2,-1.0,0.0,0.0,0.0,28800.0,10.6,18.0,169,7.59,0.91,6.1,0.335
2005-01-13,10.4,4.6,6.8,8.5,2.0,0.0,0.0,0.0,18049.27,8.5,18.7,308,4.79,0.65,7.0,0.335
2005-01-14,9.2,-1.0,3.0,6.7,-3.7,0.0,0.0,0.0,29013.18,9.0,13.3,91,8.08,0.87,5.0,0.332
2005-01-15,11.0,-2.6,3.6,7.0,-6.8,0.0,0.0,0.0,29121.37,19.6,39.2,116,8.66,1.06,3.7,0.33
2005-01-16,12.2,5.0,7.9,9.9,1.5,0.0,0.0,0.0,21011.14,16.1,31.0,117,5.47,0.77,6.7,0.328
2005-01-17,10.4,2.4,5.8,9.0,-0.2,0.0,0.0,0.0,28799.36,7.1,14.4,208,5.83,0.71,6.6,0.327
2005-01-18,10.2,4.0,6.6,5.7,-0.9,7.6,7.6,0.0,4992.82,39.0,80.3,268,1.98,0.7,6.3,0.35
2005-01-19,7.0,4.1,5.6,5.2,-1.4,9.0,9.0,0.0,5813.65,30.0,65.2,296,1.8,0.38,5.8,0.391
2005-01-20,11.0,7.4,9.9,7.6,5.1,2.2,2.2,0.0,0.0,25.7,46.8,282,1.12,0.38,8.4,0.39
2005-01-21,11.1,8.8,9.7,7.2,4.9,0.7,0.7,0.0,12342.66,27.6,54.4,276,3.32,0.65,9.0,0.379
2005-01-22,11.4,8.7,9.5,8.3,5.1,0.7,0.7,0.0,14608.69,22.5,43.6,273,3.24,0.61,9.1,0.378
2005-01-23,10.1,6.9,8.6,6.8,3.1,7.1,7.1,0.0,510.05,23.5,42.1,268,2.01,0.45,8.5,0.385
2005-01-24,5.4,0.1,2.1,0.9,-5.6,1.8,1.2,0.42,23462.43,25.4,51.5,307,4.59,0.9,4.8,0.395
2005-01-25,2.6,-2.1,-0.0,-5.1,-8.5,0.5,0.2,0.21,29806.71,34.8,59.0,326,7.19,1.37,2.4,0.382
2005-01-26,1.4,-2.8,-0.9,-4.8,-9.2,0.3,0.0,0.28,23295.67,30.4,60.1,323,6.38,1.38,1.1,0.372
2005-01-27,0.8,-3.0,-1.4,-4.9,-9.2,0.0,0.0,0.0,14399.84,25.6,46.8,301,5.92,1.23,0.5,0.365
2005-01-28,2.2,-4.0,-0.8,-2.7,-9.0,3.5,1.4,1.54,0.0,21.3,43.6,280,2.05,0.46,0.2,0.364
2005-01-29,3.9,-0.6,2.1,-1.4,-5.5,3.6,3.6,0.0,30009.96,25.0,44.6,313,8.36,1.03,2.5,0.391
2005-01-30,2.4,-3.6,-1.0,-3.3,-8.8,0.0,0.0,0.0,30988.12,19.1,38.2,290,6.88,1.1,0.7,0.373
2005-01-31,5.0,-0.4,2.0,0.4,-5.3,0.0,0.0,0.0,13714.63,19.6,35.3,281,3.86,0.52,2.0,0.369
2005-02-01,5.4,1.7,3.4,1.8,-2.3,2.3,2.3,0.0,0.0,23.4,41.8,275,1.08,0.26,3.1,0.376
2005-02-02,6.3,-0.3,3.3,1.6,-4.3,0.0,0.0,0.0,27871.16,18.0,35.6,297,6.81,0.86,3.7,0.378
2005-02-03,7.8,3.1,5.1,4.0,-0.4,0.5,0.5,0.0,11941.02,16.3,30.2,286,4.63,0.71,4.8,0.373
2005-02-04,7.3,-0.6,3.2,4.7,-3.8,0.0,0.0,0.0,31328.98,9.2,17.6,286,9.17,1.02,4.1,0.368
2005-02-05,10.2,-3.0,3.4,6.5,-7.0,0.0,0.0,0.0,32652.99,15.3,30.6,117,11.37,1.31,3.0,0.361
2005-02-06,11.3,2.4,6.0,6.1,-1.2,0.0,0.0,0.0,29515.54,27.4,49.0,114,9.36,1.26,5.1,0.357
2005-02-07,11.0,6.1,7.7,4.5,0.6,0.0,0.0,0.0,32297.82,37.7,71.6,117,10.36,1.57,7.0,0.353
2005-02-08,10.9,6.0,8.0,5.8,1.8,0.2,0.2,0.0,32275.44,29.9,53.3,118,9.21,1.3,7.6,0.35
2005-02-09,12.4,5.6,8.1,9.9,2.7,4.5,4.5,0.0,27644.28,17.3,34.6,135,8.91,1.26,7.7,0.373
2005-02-10,10.7,2.3,6.1,7.8,-0.6,0.0,0.0,0.0,33394.59,9.8,19.4,291,10.08,1.24,6.9,0.363
2005-02-11,10.1,-1.1,4.9,5.8,-4.6,4.5,4.5,0.0,14881.42,23.6,42.5,257,4.48,0.92,5.0,0.365
2005-02-12,11.1,8.7,9.7,7.5,4.6,1.2,1.2,0.0,903.72,29.9,55.1,265,2.24,0.71,8.0,0.386
2005-02-13,10.3,3.4,8.2,5.9,-3.5,10.0,10.0,0.0,20580.94,39.0,77.8,288,5.52,0.99,8.1,0.39
2005-02-14,6.7,1.6,3.9,-0.4,-5.1,1.6,1.4,0.14,33322.86,35.8,67.7,315,7.17,1.6,5.2,0.396
2005-02-15,5.0,1.5,2.8,-1.6,-4.3,1.2,0.9,0.21,26133.12,29.4,55.8,317,7.08,1.36,4.2,0.385
2005-02-16,4.2,-0.2,1.5,-2.6,-6.3,0.0,0.0,0.0,30682.05,28.6,53.6,315,8.5,1.55,3.1,0.376
2005-02-17,2.3,-2.2,0.3,-3.2,-7.6,0.0,0.0,0.0,9087.16,20.7,40.3,294,5.28,1.2,2.0,0.369
2005-02-18,2.5,-1.5,0.4,-2.5,-6.0,0.0,0.0,0.0,3028.83,16.6,32.4,288,5.5,1.1,1.9,0.364
2005-02-19,7.7,0.0,3.5,2.4,-4.6,6.3,5.7,0.42,21536.99,31.0,58.7,284,6.56,1.04,3.4,0.378
2005-02-20,5.9,0.4,2.4,1.8,-4.2,2.4,2.0,0.28,21637.67,19.5,46.8,294,7.95,0.96,3.2,0.385
2005-02-21,4.7,-2.4,0.4,-0.7,-7.4,3.8,0.7,2.17,33744.53,19.7,43.6,280,10.51,1.16,1.9,0.379
2005-02-22,5.7,-3.9,0.6,1.9,-7.7,1.5,0.0,1.12,27402.8,12.0,27.4,301,9.96,1.24,1.5,0.375
2005-02-23,4.8,-3.4,0.5,0.3,-7.3,0.4,0.3,0.07,33884.68,14.3,31.3,289,11.5,1.25,1.3,0.372
2005-02-24,6.1,-1.9,1.4,1.8,-5.6,0.0,0.0,0.0,35597.95,11.3,23.8,325,12.24,1.43,1.8,0.369
2005-02-25,7.8,-4.4,0.9,4.4,-8.2,0.0,0.0,0.0,35751.21,9.7,17.6,151,15.44,1.77,1.4,0.366
2005-02-26,8.2,-2.7,1.8,4.5,-6.2,0.0,0.0,0.0,33966.95,10.5,27.0,210,12.19,1.5,2.1,0.362
2005-02-27,4.6,-2.9,0.6,-0.6,-7.5,1.4,0.9,0.35,35842.5,20.1,35.6,297,9.8,1.13,1.7,0.36
2005-02-28,1.3,-4.2,-1.7,-3.9,-10.0,0.0,0.0,0.0,35964.54,20.2,41.0,317,13.73,1.76,0.6,0.357
2005-03-01,3.6,-6.4,-1.9,-0.2,-10.3,0.0,0.0,0.0,36483.79,11.4,20.9,295,16.33,1.68,0.2,0.352
2005-03-02,9.2,-5.2,1.1,5.0,-9.3,0.0,0.0,0.0,36588.68,14.3,25.9,137,16.48,2.08,0.6,0.349
2005-03-03,7.3,-1.5,2.3,3.1,-5.3,5.8,4.0,1.26,36092.95,18.4,41.4,256,11.39,1.28,1.7,0.354
2005-03-04,3.7,-2.0,0.5,-2.3,-6.4,0.7,0.1,0.42,20467.53,22.3,43.6,294,8.99,1.1,1.4,0.36
2005-03-05,7.2,0.0,3.4,2.1,-5.4,6.9,5.1,1.26,33479.76,27.8,51.8,279,11.57,1.43,3.2,0.369
2005-03-06,4.9,-1.0,2.1,-0.4,-4.4,2.1,1.7,0.28,34371.48,20.9,39.6,313,10.25,1.26,3.2,0.381
2005-03-07,4.2,-3.1,0.4,-1.6,-8.7,0.0,0.0,0.14,22626.45,27.7,50.0,305,8.88,1.43,1.6,0.367
2005-03-08,6.2,-0.9,2.4,1.6,-5.5,0.0,0.0,0.0,21460.59,15.9,34.9,289,9.63,1.4,2.4,0.361
2005-03-09,8.9,-0.6,3.9,4.8,-4.5,0.0,0.0,0.0,37483.4,15.0,25.9,301,14.41,1.75,4.0,0.358
2005-03-10,9.8,-2.0,4.0,6.3,-5.9,0.0,0.0,0.0,38012.29,12.9,24.5,291,17.6,2.0,4.7,0.352
2005-03-11,9.7,-1.7,3.8,5.9,-5.4,0.9,0.9,0.0,37261.18,13.9,21.2,285,14.97,1.85,4.6,0.348
2005-03-12,9.7,-3.3,3.4,7.0,-6.8,0.0,0.0,0.0,38773.27,10.5,15.5,330,15.24,1.87,4.0,0.344
2005-03-13,11.1,-0.3,4.9,9.1,-3.1,0.0,0.0,0.0,38591.05,10.7,16.2,55,17.62,2.21,5.1,0.338
2005-03-14,16.2,1.7,8.3,14.9,-1.4,0.0,0.0,0.0,36998.1,19.4,35.6,132,15.49,2.14,7.4,0.333
2005-03-15,19.7,5.1,11.7,18.5,1.9,0.0,0.0,0.0,39126.27,14.3,28.1,123,18.14,2.83,10.2,0.329
2005-03-16,20.1,7.5,12.8,18.4,3.8,0.0,0.0,0.0,39590.1,18.4,37.1,128,18.25,3.15,11.5,0.322
2005-03-17,20.5,6.2,12.6,19.7,3.5,0.0,0.0,0.0,39873.45,11.0,23.4,111,18.58,3.04,11.9,0.315
2005-03-18,22.4,4.7,13.2,20.9,1.6,0.0,0.0,0.0,40056.09,15.8,28.8,124,19.28,3.53,11.9,0.308
2005-03-19,22.1,6.9,13.7,20.9,4.2,0.0,0.0,0.0,40238.87,15.4,25.9,120,19.53,3.48,12.9,0.3
2005-03-20,22.9,6.0,14.1,22.0,3.4,0.0,0.0,0.0,40421.67,14.8,25.9,129,19.44,3.49,13.4,0.294
2005-03-21,18.6,10.0,13.5,14.9,5.7,0.0,0.0,0.0,35019.49,27.7,47.5,123,12.23,2.74,13.1,0.288
2005-03-22,17.5,10.3,12.9,15.1,6.0,2.0,2.0,0.0,20845.29,25.3,45.7,119,11.19,2.1,12.8,0.297
2005-03-23,18.3,10.2,13.3,14.9,6.4,0.0,0.0,0.0,40452.98,27.9,56.2,117,17.87,2.94,13.3,0.3
2005-03-24,19.5,11.0,14.3,18.8,8.2,3.7,3.7,0.0,31411.38,21.0,41.4,125,14.34,2.52,13.8,0.326
2005-03-25,18.1,10.5,13.4,15.2,7.9,0.7,0.7,0.0,32957.16,25.5,50.4,114,16.05,2.57,13.7,0.324
2005-03-26,18.4,9.9,13.1,17.3,7.4,8.2,8.2,0.0,31964.15,21.6,41.0,121,14.57,2.25,13.5,0.355
2005-03-27,15.8,8.6,11.4,14.3,6.3,8.3,8.3,0.0,32121.49,24.4,54.7,267,13.35,2.02,12.3,0.385
2005-03-28,17.2,6.2,12.2,16.6,3.6,0.0,0.0,0.0,38974.54,14.8,27.7,250,18.12,2.95,12.8,0.365
2005-03-29,17.2,9.5,12.4,15.6,7.9,14.2,14.2,0.0,31407.33,26.3,43.2,253,13.88,2.22,12.8,0.389
2005-03-30,14.6,7.9,11.2,11.7,5.3,9.9,9.9,0.0,39669.58,26.4,66.2,272,13.84,2.01,11.7,0.399
2005-03-31,14.5,7.5,11.0,11.8,5.3,0.0,0.0,0.0,33110.95,18.6,36.4,303,11.62,1.99,11.5,0.391
2005-04-01,18.8,4.7,11.8,15.5,1.5,0.0,0.0,0.0,42576.54,28.5,50.4,106,19.94,3.51,11.4,0.374
2005-04-02,17.2,11.1,13.0,12.2,5.3,0.0,0.0,0.0,33785.83,38.3,72.7,121,17.52,3.68,12.9,0.36
2005-04-03,16.8,10.1,12.9,12.8,5.5,0.0,0.0,0.0,36901.24,29.3,52.9,119,15.72,3.14,12.9,0.352
2005-04-04,17.9,8.9,13.0,15.8,5.4,0.0,0.0,0.0,42987.93,18.9,42.1,123,20.51,3.61,13.2,0.344
2005-04-05,16.9,8.1,12.2,15.6,6.6,0.7,0.7,0.0,38046.89,9.6,23.4,231,12.85,2.11,12.8,0.341
2005-04-06,19.9,9.0,13.8,18.1,6.8,0.0,0.0,0.0,34266.88,21.1,39.6,127,18.24,3.15,13.6,0.336
2005-04-07,19.4,10.6,14.2,19.6,8.8,3.7,3.7,0.0,36820.69,17.1,40.3,109,17.31,2.97,14.7,0.334
2005-04-08,12.9,6.1,9.8,9.0,1.0,19.7,19.7,0.0,39525.39,33.2,58.7,292,16.6,2.42,12.3,0.41
2005-04-09,8.3,3.4,5.7,3.1,-1.9,4.8,4.5,0.21,38484.88,32.1,62.6,308,17.2,2.43,8.8,0.396
2005-04-10,9.4,3.3,6.2,4.0,-2.7,3.8,3.7,0.07,21022.81,34.0,61.2,307,9.2,1.96,7.6,0.388
