date,t2m_max,t2m_min,t2m_mean,app_tmax,app_tmin,precip_mm,rain_mm,snow_mm,sun_h,wind10_max,gust10_max,winddir,sw_rad,et0,soil_t0_7,soil_m0_7,latitude,longitude,elevation_m,ndvi
2023-01-01,15.5,11.2,13.1,12.4,8.1,0.0,0.0,0.0,25498.63,30.5,51.8,136,5.55,1.27,12.3,0.343,43.6045,1.444,135.0,0.65
2023-01-02,13.5,10.0,12.1,10.7,7.8,0.1,0.1,0.0,0.0,34.5,58.7,171,1.47,0.93,12.2,0.343,43.6045,1.444,135.0,0.65
2023-01-03,11.9,5.8,9.3,10.2,4.3,0.0,0.0,0.0,10897.12,8.4,18.4,318,3.39,0.5,10.5,0.344,43.6045,1.444,135.0,0.65
2023-01-04,9.5,5.2,6.8,8.5,3.6,0.0,0.0,0.0,11558.68,4.6,12.6,114,3.92,0.48,8.3,0.34,43.6045,1.444,135.0,0.65
2023-01-05,12.7,3.7,7.8,11.5,0.9,0.0,0.0,0.0,28636.24,9.9,13.0,271,6.92,0.86,8.4,0.336,43.6045,1.444,135.0,0.65
2023-01-06,11.9,5.0,7.4,11.0,3.4,0.0,0.0,0.0,14342.77,7.1,12.6,138,3.92,0.55,8.6,0.324,43.6045,1.444,135.0,0.65
2023-01-07,14.0,5.9,9.7,11.6,3.3,0.0,0.0,0.0,27529.58,22.4,38.9,136,6.76,1.07,9.2,0.315,43.6045,1.444,135.0,0.65
2023-01-08,11.7,8.3,9.8,9.3,5.8,6.4,6.4,0.0,14399.55,22.8,38.2,171,4.17,0.61,9.7,0.351,43.6045,1.444,135.0,0.65
2023-01-09,10.0,7.3,8.5,6.3,2.4,13.2,13.2,0.0,18805.56,29.0,59.4,272,4.46,0.94,8.6,0.4,43.6045,1.444,135.0,0.65
2023-01-10,13.1,6.2,8.7,11.6,3.4,0.2,0.2,0.0,19720.99,20.6,36.7,248,5.02,0.82,8.9,0.382,43.6045,1.444,135.0,0.65
2023-01-11,10.9,4.3,7.5,8.0,1.7,3.6,3.6,0.0,4479.34,19.1,33.5,254,1.9,0.38,7.4,0.379,43.6045,1.444,135.0,0.65
2023-01-12,11.9,3.9,7.3,10.5,1.2,0.0,0.0,0.0,28800.0,13.8,24.5,229,6.84,0.81,7.5,0.381,43.6045,1.444,135.0,0.65
2023-01-13,13.5,5.7,9.1,10.3,2.9,1.5,1.5,0.0,24386.79,24.7,45.4,264,5.51,0.9,8.5,0.379,43.6045,1.444,135.0,0.65
2023-01-14,14.6,3.0,7.9,13.0,0.2,0.0,0.0,0.0,25968.55,15.0,25.6,144,7.53,1.08,7.9,0.372,43.6045,1.444,135.0,0.65
2023-01-15,9.2,3.1,7.0,5.8,0.3,2.5,2.5,0.0,10174.61,24.5,42.8,260,3.16,0.6,7.6,0.374,43.6045,1.444,135.0,0.65
2023-01-16,8.7,4.1,6.5,3.9,-0.1,8.2,8.2,0.0,0.0,33.0,58.3,243,2.52,0.76,6.6,0.4,43.6045,1.444,135.0,0.65
2023-01-17,7.5,4.1,6.0,3.5,-1.3,22.2,21.9,0.21,12699.82,32.1,60.5,254,4.92,0.75,6.3,0.428,43.6045,1.444,135.0,0.65
2023-01-18,6.2,1.6,3.7,1.4,-2.4,3.7,1.5,1.54,15765.89,25.8,45.0,281,6.16,0.92,5.1,0.409,43.6045,1.444,135.0,0.65
2023-01-19,6.3,1.4,3.2,2.6,-3.4,16.4,14.3,1.47,279.0,24.5,42.8,248,3.3,0.44,4.1,0.413,43.6045,1.444,135.0,0.65
2023-01-20,4.2,-0.6,1.8,-0.3,-4.3,7.2,4.4,1.96,16084.81,23.0,47.2,310,5.35,0.63,3.4,0.412,43.6045,1.444,135.0,0.65
2023-01-21,3.8,-2.8,0.5,-1.9,-6.6,1.2,0.4,0.56,20620.78,26.4,47.2,308,5.14,0.68,2.1,0.396,43.6045,1.444,135.0,0.65
2023-01-22,1.0,-2.1,-0.7,-5.1,-7.5,0.0,0.0,0.0,7840.22,26.0,49.0,289,4.35,0.67,1.6,0.391,43.6045,1.444,135.0,0.65
