date,t2m_max,t2m_min,t2m_mean,app_tmax,app_tmin,precip_mm,rain_mm,snow_mm,sun_h,wind10_max,gust10_max,winddir,sw_rad,et0,soil_t0_7,soil_m0_7,agri_score
2010-01-01,8.3,4.0,6.6,5.5,-1.4,5.4,5.4,0.0,3258.46,38.2,70.9,273,2.06,0.75,7.4,0.4,0.5
2010-01-02,4.4,0.8,2.2,1.4,-2.5,2.7,0.2,1.82,15464.95,12.8,29.2,9,3.11,0.43,4.6,0.383,0.5
2010-01-03,6.8,1.5,3.7,2.4,-3.7,0.9,0.9,0.0,10330.56,21.3,42.1,116,4.09,1.08,4.3,0.377,0.1
2010-01-04,10.5,3.9,7.2,9.0,0.2,3.2,3.2,0.0,17895.5,13.5,29.9,153,3.91,0.56,6.6,0.4,0.5
2010-01-05,6.6,1.4,5.0,4.3,-2.9,0.4,0.4,0.0,0.0,16.6,31.7,307,1.22,0.31,6.2,0.383,0.0
2010-01-06,7.2,-1.7,2.0,2.7,-5.0,0.5,0.5,0.0,28717.78,15.3,29.2,274,7.11,0.81,3.9,0.376,0.1
2010-01-07,4.9,-2.0,1.4,2.1,-5.2,0.8,0.8,0.0,5629.78,9.8,20.2,50,3.61,0.47,2.8,0.372,0.1
2010-01-08,1.6,-2.2,-0.2,-2.1,-8.2,1.7,0.0,1.47,9448.61,28.0,49.7,292,4.22,0.79,2.2,0.367,0.5
2010-01-09,-2.3,-4.0,-3.0,-8.3,-10.1,6.7,0.0,4.69,0.0,24.7,44.3,288,4.46,0.58,0.6,0.36,0.39999999999999997
2010-01-10,1.2,-5.4,-3.0,-2.0,-10.0,0.0,0.0,0.07,27901.96,16.1,28.8,294,7.05,0.63,0.2,0.356,0.1
2010-01-11,1.9,-5.4,-2.4,-1.5,-9.6,0.0,0.0,0.0,24094.77,8.5,13.7,127,6.75,0.61,-0.0,0.355,0.1
2010-01-12,4.8,-5.6,-0.6,-0.6,-9.9,4.2,4.2,0.0,13840.27,23.8,44.6,127,5.39,0.66,-0.0,0.366,0.5
2010-01-13,10.8,2.6,6.6,9.0,-1.0,3.6,3.6,0.0,28894.7,25.9,49.7,244,7.19,0.97,4.2,0.408,0.5
2010-01-14,10.0,5.5,7.5,8.7,1.4,14.6,14.6,0.0,16080.5,25.1,46.8,178,3.55,0.59,6.1,0.41,0.6999999999999998
2010-01-15,6.4,2.6,5.0,3.4,-0.4,2.9,2.9,0.0,22293.09,25.0,48.2,300,4.33,0.54,5.8,0.41,0.5
2010-01-16,10.4,1.0,5.9,6.2,-2.8,1.5,1.5,0.0,13885.15,22.2,44.3,125,5.52,0.99,5.5,0.393,0.5
2010-01-17,10.4,4.8,8.4,8.2,2.2,0.9,0.9,0.0,13842.23,13.0,25.9,295,4.37,0.64,7.5,0.397,0.1
2010-01-18,10.6,-1.5,4.3,7.8,-4.4,0.0,0.0,0.0,29389.69,12.9,23.4,90,8.23,0.96,4.7,0.383,0.1
2010-01-19,10.4,2.9,6.3,6.9,-1.5,0.1,0.1,0.0,13799.16,20.4,40.3,117,5.04,0.86,5.5,0.375,0.1
2010-01-20,10.4,6.7,8.0,7.6,2.6,13.0,13.0,0.0,10081.62,24.0,41.8,261,2.57,0.51,7.2,0.4,0.6999999999999998
2010-01-21,9.7,4.0,6.6,6.8,1.2,2.5,2.5,0.0,28800.0,20.4,41.4,290,5.98,0.78,6.9,0.406,0.5
2010-01-22,11.4,-0.7,4.8,8.5,-3.4,0.0,0.0,0.0,29862.64,9.8,16.9,98,9.0,1.12,5.1,0.389,0.1
2010-01-23,11.4,3.3,6.6,7.2,-0.9,0.0,0.0,0.0,23489.02,22.1,41.0,116,6.06,0.98,5.9,0.379,0.1
2010-01-24,8.7,4.4,6.7,6.6,2.2,2.1,2.1,0.0,7450.74,16.5,28.1,246,2.7,0.46,6.5,0.376,0.5
2010-01-25,6.6,3.2,5.1,3.1,0.1,1.1,1.1,0.0,19501.06,18.7,31.3,301,4.72,0.62,6.1,0.387,0.5
2010-01-26,6.6,-2.6,2.5,2.0,-6.1,0.0,0.0,0.0,28913.14,20.3,37.8,292,7.39,1.03,3.6,0.376,0.1
2010-01-27,4.3,-1.6,0.9,-0.2,-6.2,0.0,0.0,0.0,30529.88,18.8,35.6,300,9.29,1.23,3.2,0.368,0.1
2010-01-28,5.8,-2.9,1.1,1.2,-7.7,0.1,0.1,0.0,0.0,26.1,46.4,270,2.21,0.62,1.8,0.365,0.0
2010-01-29,7.7,3.4,5.4,3.8,-0.2,3.1,3.1,0.0,625.94,28.8,55.4,271,2.27,0.42,4.6,0.374,0.5
2010-01-30,7.1,1.6,4.6,2.2,-3.4,5.3,5.3,0.0,25647.1,28.1,59.4,286,6.45,0.89,4.9,0.395,0.5
2010-01-31,4.2,-1.4,1.2,0.1,-4.9,0.0,0.0,0.0,30963.79,11.3,26.3,333,9.23,0.99,3.5,0.382,0.1
2010-02-01,5.3,-3.6,0.1,1.1,-7.3,0.0,0.0,0.0,31810.36,11.2,22.3,303,10.24,1.09,1.4,0.372,0.1
2010-02-02,8.2,-3.2,1.7,5.0,-6.6,0.0,0.0,0.0,31239.39,9.1,20.9,146,10.62,1.18,1.7,0.366,0.1
2010-02-03,9.8,-3.5,2.1,6.8,-7.2,0.0,0.0,0.0,32262.96,11.5,18.7,133,11.0,1.31,2.0,0.362,0.1
2010-02-04,12.6,0.6,6.6,8.1,-3.7,0.0,0.0,0.0,13090.87,27.1,51.1,116,6.65,1.16,4.7,0.358,0.1
2010-02-05,11.6,4.8,8.5,7.7,1.9,6.5,6.5,0.0,25057.84,21.4,59.4,245,8.18,1.15,7.4,0.388,0.5
2010-02-06,11.3,3.5,7.6,6.5,0.4,9.2,9.2,0.0,22525.77,32.9,72.7,271,6.22,0.94,6.7,0.404,0.5
